Age,Gender,Occupation,Daily_AI_Usage_Hours,AI_Usage_Purpose,Specialization,AI_Tools_Used,AI_Usage_Frequency,AI_Skill_Level,Device_Used,Data_Privacy_Concern,AI_Trust_Level,Location,Language_Preference,Internet_Speed,AI_Usage_Change_in_6_Months,Uses_Paid_AI_Tools,Satisfaction_Level,Can_Live_Without_AI,Task_Complexity,Time_to_Respond_Seconds,Performance (%)
62,Female,Doctor,11,Health,Medicine,Midjourney,Daily,Beginner,Tablet,High,Moderate,Suburban,English,Slow,Increased,Yes,10,No,4,72,73
36,Female,Student,10,Daily Life,Education,Other,Sometimes,Intermediate,Mobile,Low,Moderate,Rural,Arabic,Slow,Increased,Yes,3,Yes,1,12,83
27,Female,Freelancer,2,Daily Life,Law,,Sometimes,Intermediate,Laptop,High,Moderate,Suburban,French,Medium,Increased,Yes,6,No,2,36,67
58,Female,Designer,8,Entertainment,Engineering,ChatGPT,Often,Beginner,Desktop,Medium,High,Rural,English,Slow,Increased,Yes,6,No,2,31,65
64,Female,Student,5,Entertainment,Business,Notion AI,Daily,Advanced,Tablet,Low,Moderate,Urban,Spanish,Medium,Decreased,No,7,No,2,41,65
32,Female,Designer,1,Study,,Midjourney,Often,Beginner,Mobile,High,Moderate,Rural,Arabic,Slow,Decreased,Yes,8,No,2,44,65
22,Female,Freelancer,11,Study,Law,Copilot,Rarely,Beginner,Laptop,Low,Low,Suburban,Spanish,Slow,Decreased,No,2,Yes,2,43,63
39,Male,Designer,8,Shopping,Medicine,Notion AI,Daily,Beginner,Laptop,Low,Low,Suburban,English,Medium,Decreased,No,4,Yes,2,32,65
57,,Researcher,6,Daily Life,Law,ChatGPT,Sometimes,Advanced,Laptop,Medium,Moderate,Rural,French,Fast,Same,No,4,Yes,2,30,83
25,,Freelancer,5,Entertainment,Computer Science,Notion AI,Rarely,Beginner,Desktop,High,Low,Suburban,Spanish,Fast,Increased,Yes,7,No,2,50,65
30,Female,Unemployed,0,Work,Law,,Sometimes,Beginner,Desktop,Low,High,Urban,Arabic,Medium,Decreased,No,10,No,2,30,87
59,Female,Engineer,4,Shopping,Education,Notion AI,Daily,Intermediate,Tablet,Medium,High,Urban,Arabic,Medium,Increased,No,2,Yes,3,59,78
38,Female,Freelancer,6,Health,,Copilot,Daily,Beginner,Laptop,Medium,,Rural,Spanish,Fast,Increased,Yes,4,Yes,3,90,67
28,,Teacher,6,Health,Law,Notion AI,Sometimes,Intermediate,Desktop,High,High,Rural,Spanish,Slow,Decreased,Yes,5,Yes,3,69,63
59,,Student,11,Entertainment,Education,Midjourney,Sometimes,Intermediate,Mobile,High,High,Urban,English,Slow,Decreased,Yes,2,Yes,2,28,83
30,,Designer,1,Daily Life,Art,Copilot,Daily,Advanced,Mobile,Medium,Moderate,Rural,Arabic,Slow,Same,No,4,Yes,2,23,87
50,,Designer,3,Work,Art,Copilot,Daily,Advanced,Mobile,High,Low,Suburban,French,Fast,Same,,9,No,2,30,87
20,Male,Teacher,7,Work,Education,Bard,Daily,Intermediate,Mobile,Low,Moderate,Urban,Spanish,Slow,Same,No,3,Yes,2,29,87
53,,Engineer,0,Work,Engineering,Other,Sometimes,Intermediate,Desktop,High,Moderate,Suburban,Spanish,Fast,Same,No,7,No,3,49,83
39,,Unemployed,9,Health,Engineering,Notion AI,Daily,Advanced,Tablet,High,Low,Suburban,Arabic,Fast,Increased,Yes,8,No,2,29,83
21,Male,Student,6,Study,Medicine,Bard,Rarely,Intermediate,Laptop,High,High,Suburban,English,Fast,Increased,Yes,7,No,2,49,63
37,Female,Researcher,8,Work,Medicine,Other,Rarely,Intermediate,Tablet,High,High,Rural,Spanish,Medium,Same,No,3,Yes,2,41,65
29,,Designer,1,Health,Engineering,Copilot,Daily,Beginner,Laptop,High,High,Rural,English,Slow,Increased,No,6,No,3,69,61
39,,Teacher,4,Study,Education,Copilot,Daily,Advanced,Desktop,High,Low,Urban,Spanish,Slow,Decreased,No,3,Yes,2,46,65
42,Female,Doctor,1,Work,Medicine,Midjourney,Rarely,Advanced,Mobile,Low,Moderate,Urban,Spanish,Medium,Decreased,No,5,Yes,3,52,78
21,Male,Researcher,9,Entertainment,Education,Copilot,Rarely,Beginner,Laptop,High,High,Suburban,English,Medium,Decreased,No,1,Yes,2,40,67
30,Female,Freelancer,8,Study,Business,Bard,Daily,Advanced,Laptop,Medium,Moderate,Rural,Arabic,Fast,Decreased,No,1,Yes,2,24,85
43,Male,Teacher,7,Shopping,Education,Bard,Often,Intermediate,Tablet,Low,Moderate,Rural,English,Medium,Increased,Yes,6,No,2,36,63
62,Female,Researcher,8,Study,Engineering,ChatGPT,Often,Beginner,Tablet,Low,Low,Suburban,Spanish,Fast,Decreased,Yes,7,No,2,29,83
24,,Designer,8,Daily Life,Art,Copilot,Daily,Beginner,Laptop,High,High,Rural,French,Fast,Decreased,Yes,2,Yes,2,30,85
